"BusNum","BusNum.1","LineCircuit","BranchDeviceType","ConsolidateBranch","LineStatus","NormLineStatus","SeriesCapStatus","LineMeter","LineR","LineX","LineC","LineG","LineLength","LineMonEle"
10002,10001,1,"Line","","Closed","Closed","NO",10002,0.433525922875312,0.342289276347494,0.00335158880637077,0,46.8044586181641,"YES"
10011,10001,1,"Line","","Closed","Closed","NO",10011,0.210414607408899,0.230954129296205,0.00461221926981866,0,48.1176605224609,"YES"
10014,10002,1,"Line","","Closed","Closed","NO",10014,0.213365593570912,0.152778500750537,0.00529916885218027,0,46.3703346252441,"YES"
10004,10003,1,"Line","","Closed","Closed","NO",10004,0.0912644121817091,0.0842163199411077,0.000861641122066173,0,13.7101678848267,"YES"
10003,10010,1,"Line","","Closed","Closed","NO",10003,0.0937074777555201,0.0909254690959282,0.00129878382551114,0,15.826099395752,"YES"
10937,10003,1,"Line","","Closed","Closed","NO",10937,0.0717758837601865,0.0576730752265789,0.00201799341512022,0,15.4969167709351,"YES"
10004,10005,1,"Line","","Closed","Closed","NO",10004,0.00151790940185863,0.00134762557835633,0,0,0,"YES"
10004,10937,1,"Line","","Closed","Closed","NO",10004,0.146952071831557,0.115649168313446,0.00155991838287764,0,21.8516845703125,"YES"
10006,10007,1,"Line","","Closed","Closed","NO",10006,0.00205077121744087,0.00130625083132355,0,0,0,"YES"
10008,10007,1,"Line","","Closed","Closed","NO",10008,0.06570265631045,0.0753322023680204,0.00114711714191446,0,14.6408843994141,"YES"
10007,13019,1,"Line","","Closed","Closed","NO",10007,0.0441087218132244,0.0444293548614226,0.00151635789243162,0,12.5871229171753,"YES"
10007,13028,1,"Line","","Closed","Closed","NO",10007,0.143274224345929,0.119340964021618,0.0138203258622532,0,59.2246055603027,"YES"
10008,10009,1,"Line","","Closed","Closed","NO",10008,0.00177994897948861,0.00120179146414107,0,0,0,"YES"
10016,10008,1,"Line","","Closed","Closed","NO",10016,0.0983059075979334,0.0962946205849614,0.00221391540385857,0,22.7701053619385,"YES"
13019,10008,1,"Line","","Closed","Closed","NO",13019,0.102211132827999,0.074938372470208,0.00235375653725068,0,21.2583637237549,"YES"
10014,10010,1,"Line","","Closed","Closed","NO",10014,0.058693967582103,0.0354394297493762,0.00164861093418747,0,11.3980560302734,"YES"
10011,10020,1,"Line","","Closed","Closed","NO",10011,0.172108380595571,0.127585244995073,0.00180794880221602,0,23.2277965545654,"YES"
10012,10023,1,"Line","","Closed","Closed","NO",10012,0.0105286355879757,0.0190353057887105,0.0231343166519512,0,31.1271343231201,"YES"
10012,10987,1,"Line","","Closed","Closed","NO",10012,0.00665774190696243,0.0107940042240483,0.0125616457846886,0,18.0067501068115,"YES"
10014,10013,1,"Line","","Closed","Closed","NO",10014,0.0157878479728811,0.00970948658142772,0.000299269149911199,0,2.44635605812073,"YES"
10013,10076,1,"Line","","Closed","Closed","NO",10013,0.115910397812071,0.116523350825317,0.00846635823614672,0,47.6008377075195,"YES"
10014,10015,1,"Line","","Closed","Closed","NO",10014,0.00203977799138265,0.00125178605604323,0,0,0,"YES"
10016,10017,1,"Line","","Closed","Closed","NO",10016,0.00188946237523905,0.00132375913873716,0,0,0,"YES"
10016,13463,1,"Line","","Closed","Closed","NO",10016,0.0674830338141272,0.0538435846000044,0.0146263542024046,0,44.6732025146484,"YES"
10018,10032,1,"Line","","Closed","Closed","NO",10018,0.0169051738633628,0.0167765554106338,0.0024766322179381,0,8.27929878234863,"YES"
10018,10988,1,"Line","","Closed","Closed","NO",10018,0.0474007464919464,0.04408114502036,0.0014866738303498,0,12.171630859375,"YES"
10730,10019,1,"Line","","Closed","Closed","NO",10730,0.0161536987426061,0.0308684430404161,0.0428043665565773,0,56.4924125671387,"YES"
10020,10029,1,"Line","","Closed","Closed","NO",10020,0.0430566879053558,0.0456269016847153,0.00164693715894607,0,13.0525236129761,"YES"
10021,13074,1,"Line","","Closed","Closed","NO",10021,0.048756698886815,0.0403483952835753,0.00919146885278353,0,28.0747451782227,"YES"
10021,13512,1,"Line","","Closed","Closed","NO",10021,0.0188212477663352,0.0206835952108093,0.000836005658835025,0,5.99877071380615,"YES"
13690,10021,1,"Line","","Closed","Closed","NO",13690,0.0391742798320837,0.0428535943519176,0.000973190905352928,0,10.2348861694336,"YES"
10022,10024,1,"Line","","Closed","Closed","NO",10022,0.0119418047432485,0.0124599849560404,0.000426188737069649,0,3.6052348613739,"YES"
10022,10030,1,"Line","","Closed","Closed","NO",10022,0.0534271032304373,0.0420124250593074,0.000897880404249111,0,10.2220993041992,"YES"
10730,10023,1,"Line","","Closed","Closed","NO",10730,0.00443086415190314,0.00848088338117967,0.0161023463956527,0,18.0383071899414,"YES"
10987,10023,1,"Line","","Closed","Closed","NO",10987,0.00817643470460324,0.0145716805345018,0.0174212730656504,0,25.1609516143799,"YES"
10024,10039,1,"Line","","Closed","Closed","NO",10024,0.0245057756771132,0.0157741791266456,0.00030348304382848,0,3.63529181480408,"YES"
10025,10858,1,"Line","","Closed","Closed","NO",10025,0.047505489043606,0.0449100970246185,0.00230606551969056,0,14.4522972106934,"YES"
10025,10929,1,"Line","","Closed","Closed","NO",10025,0.0914584633892537,0.0782816886494525,0.00129064018352668,0,15.0399618148804,"YES"
10051,10026,1,"Line","","Closed","Closed","NO",10051,0.0341581758930781,0.0296701428034059,0.000825696535024779,0,7.88041210174561,"YES"
10027,10028,1,"Line","","Closed","Closed","NO",10027,0.00187632586964558,0.0011788392342779,0,0,0,"YES"
10027,10029,1,"Line","","Closed","Closed","NO",10027,0.047430353298383,0.0420647102590017,0.000814903308340219,0,8.76104068756104,"YES"
10054,10027,1,"Line","","Closed","Closed","NO",10054,0.0445671864950757,0.0408162009907801,0.00273485338981648,0,14.738263130188,"YES"
10030,10031,1,"Line","","Closed","Closed","NO",10030,0.00184105220401792,0.00120730294233056,0,0,0,"YES"
10030,10988,1,"Line","","Closed","Closed","NO",10030,0.084724507840672,0.0636724187635084,0.00285772359035249,0,18.667387008667,"YES"
10032,10040,1,"Line","","Closed","Closed","NO",10032,0.0447448448961617,0.0381683284804358,0.00297910675180606,0,14.1884021759033,"YES"
10036,10033,1,"Line","","Closed","Closed","NO",10036,0.0108470659412459,0.00721046625470233,0.000259961753590446,0,2.01026678085327,"YES"
10033,10045,1,"Line","","Closed","Closed","NO",10033,0.0826035870818475,0.0546201700701332,0.00252056631770582,0,19.1670722961426,"YES"
10033,11071,1,"Line","","Closed","Closed","NO",10033,0.0107254397121824,0.00850081941447152,0.000208201894870415,0,1.98484230041504,"YES"
10033,13147,1,"Line","","Closed","Closed","NO",10033,0.0596601210275948,0.060778903415923,0.00429314074263364,0,25.2757511138916,"YES"
