"BusNum","GenID","GenStatus","GenVoltSet","GenRegNum","GenRMPCT","GenAGCAble","GenParFac","GenMWSetPoint","GenMWMax","GenMWMin","GenEnforceMWLimits","GenAVRAble","GenMvrSetPoint","GenMVRMax","GenMVRMin","GenUseCapCurve","GenWindControlMode","GenWindPowerFactor","GenUseLDCRCC","GenRLDCRCC","GenXLDCRCC","GenMVABase","GenZR","GenZX","GenStepR","GenStepX","GenStepTap","TSGovRespLimit","GenUnitType:1","AreaNum","ZoneNum","BANumber","OwnerNum","OwnPercent","OwnerNum:1","OwnPercent:1","OwnerNum:2","OwnPercent:2","OwnerNum:3","OwnPercent:3","OwnerNum:4","OwnPercent:4","OwnerNum:5","OwnPercent:5","OwnerNum:6","OwnPercent:6","OwnerNum:7","OwnPercent:7","EMSType","EMSDeviceID","DataMaintainerAssign","llLabels","GenUnitType","GenTotalFixedCosts","GenCostModel","GenFuelType","GenFuelCost","GenFixedCost","GenIOD","GenIOC","GenIOB"
10683,1,"Open",0.985167746512241,10680,1,"NO ",0.11350485306064,0,0.113504849724928,0.109276336611136,"YES","YES",0,0.118439910509228,-7.80000016093254,"NO ","None",1,"NO",0,1,0.117740119610091,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10684,1,"Closed",0.985167746512241,10680,1,"NO ",0.113502471593336,0.0610287256865711,0.113502470976207,0.068097471932992,"YES","YES",0.114163015204323,0.118436817042104,-7.80406668782234,"NO ","None",1,"NO",0,1,0.113996933642275,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10685,1,"Closed",0.985167746512241,10680,1,"NO ",0.113502471593336,0.0992097478776206,0.113502470976207,0.117778504297151,"YES","YES",0.114163026747164,0.118436817042104,-7.80406668782234,"NO ","None",1,"NO",0,1,0.123194796047775,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10686,1,"Open",0.985167746512241,10680,1,"NO ",0.113502471593336,0.0826765172614188,0.113502470976207,0.117739569304087,"YES","YES",0,0.118436817042104,-7.80406668782234,"NO ","None",1,"NO",0,1,0.121376066081669,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10687,1,"Closed",0.985167746512241,10680,1,"NO ",0.113502471593336,0.0863185073178108,0.113502470976207,0.0840182398107036,"YES","YES",0.114163015204323,0.118436817042104,-7.80406668782234,"NO ","None",1,"NO",0,1,0.106597330566785,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10688,1,"Closed",0.985167746512241,10680,1,"NO ",0.113502471593336,0.0786602651346719,0.113502470976207,0.041874415975104,"YES","YES",0.114163026747164,0.118436817042104,-7.80406668782234,"NO ","None",1,"NO",0,1,0.114081799866193,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10689,1,"Closed",0.991846362539685,10681,1,"NO ",0.00919327256800209,0.00645109719478913,0.0091932723056287,0.00419811960389048,"YES","YES",0.00959298034932885,0.00959293605743433,-0.632099993526936,"NO ","None",1,"NO",0,1,0.00731143642635103,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10691,1,"Closed",0.988514405503963,10690,1,"NO ",0.0704817595263477,0.0427348937848083,0.0704817596528604,0.0349804926793196,"YES","YES",0.0407951475373626,0.0407949591814704,-14.2416000366211,"NO ","None",1,"NO",0,1,0.0560679782518302,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Wind",0,0,0,0,0
10694,1,"Closed",0.982871547888143,10693,1,"NO ",0.0249429883251991,0.0164687946299522,0.024942987764804,0.00806570503620691,"YES","YES",0.00811504796442921,0.0260273444717849,-1.71499997377396,"NO ","None",1,"NO",0,1,0.019880507526483,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10695,1,"Closed",0.982871547888143,10693,1,"NO ",0.0249429883251991,0.0182815654890638,0.024942987764804,0.0287786016283719,"YES","YES",0.00811504868585678,0.0260273444717849,-1.71499997377396,"NO ","None",1,"NO",0,1,0.0234406447549854,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10699,1,"Closed",0.965053675045697,10697,1,"NO ",0.0717645385207882,0.0568301066355595,0.0717645381305944,0.0276289924209886,"YES","YES",-0.0280802261852028,0.0415391775375872,-14.4999995827675,"NO ","None",1,"NO",0,1,0.0683767589871887,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Wind",0,0,0,0,0
10703,1,"Closed",0.981924337898534,10702,1,"NO ",0.0971351252812741,0.0975313989456413,0.0971351250929581,0.0904772095163986,"YES","YES",0.0501983325581161,0.0562219700713058,-19.6272000670433,"NO ","None",1,"NO",0,1,0.0989816399063765,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Wind",0,0,0,0,0
10710,1,"Closed",0.965976306956191,10707,1,"NO ",0.15436146924223,0.122475959537148,0.15436145616938,0.163357718235583,"YES","YES",-0.0205469799749253,0.161063570472367,-10.6100000441074,"NO ","None",1,"NO",0,1,0.135164539980614,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10711,1,"Closed",0.965976306956191,10707,1,"NO ",0.15436146924223,0.135723446406798,0.15436145616938,0.145304304584706,"YES","YES",-0.0205535637229005,0.161072089049745,-10.6133997440338,"NO ","None",1,"NO",0,1,0.124595067121547,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10712,1,"Closed",0.965976306956191,10707,1,"NO ",0.15436146924223,0.0972809525778779,0.15436145616938,0.109381394718827,"YES","YES",-0.0205469799749253,0.161063570472367,-10.6100000441074,"NO ","None",1,"NO",0,1,0.124644319454698,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
10713,1,"Closed",0.965976306956191,10707,1,"NO ",0.15436146924223,0.135506387201276,0.15436145616938,0.170249212007837,"YES","YES",-0.0205469799749253,0.161063570472367,-10.6100000441074,"NO ","None",1,"NO",0,1,0.147320690373283,0,1,0,0,1,"Normal","UN",1,1,1,1,1,"","","","","","","","","","","","","","","","","","","UN (Unknown)",0,"Cubic","Hydro",0,0,0,0,0
