"BusNum","LoadID","LoadStatus","GenAGCAble","LoadSMW","LoadSMVR","LoadIMW","LoadIMVR","LoadZMW","LoadZMVR","DistStatus","DistMWInput","DistMvarInput","Interruptable","GenMWMax","GenMWMin","LoadModelGroup","AreaNum","ZoneNum","BANumber","OwnerNum","EMSType","EMSDeviceID","DataMaintainerAssign","AllLabels"
10001,"1 ","Closed","YES",0.0591283514639516,0.0376579991964563,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10002,"1 ","Closed","YES",0.092204882630413,0.0878834435670194,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10002,"2 ","Closed","YES",0.00586129130684921,0.00172409538968111,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10003,"1 ","Closed","YES",0.0851801717614417,0.0139777641010912,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10003,"2 ","Closed","YES",0.00310736791966837,0.00225912000766171,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10005,"1 ","Closed","YES",0.0429582591022189,0.0229490340181884,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10005,"2 ","Closed","YES",0.0211477754804891,0.0177957744050977,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10006,"1 ","Closed","YES",0.0824851571297896,0.0189980617293899,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10009,"1 ","Closed","YES",0.103220581893911,0.038493138675071,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10010,"1 ","Closed","YES",0.205513358674626,0.224759735205627,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10011,"1 ","Closed","YES",0.196500527953752,0.121264315555267,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10013,"1 ","Closed","YES",0.354622859611117,0.446179819181431,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10015,"1 ","Closed","YES",0.153483360953221,0.175090378766843,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10017,"1 ","Closed","YES",0.158888111476328,0.106275867602106,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10018,"1 ","Closed","YES",0.148756035259337,0.0915910760736716,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10018,"2 ","Closed","YES",0.00136959820630136,0.000311815139526216,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10020,"1 ","Closed","YES",0.327378141800295,0.067435112118853,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10021,"1 ","Closed","YES",0.0551668284481305,0.0315583612334202,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10022,"1 ","Closed","YES",0.269722483222336,0.226641857711017,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10022,"2 ","Closed","YES",0.0259781842816446,0.00956931550971201,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10024,"1 ","Closed","YES",0.269722483222336,0.133164142294468,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10025,"1 ","Closed","YES",0.189534720411274,0.189386871542601,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10026,"1 ","Closed","YES",0.112866673664599,0.0728260544101008,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10026,"2 ","Closed","YES",0.00156104744712325,0.000972923667718701,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10028,"1 ","Closed","YES",0.197752310506298,0.188790737451286,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10029,"1 ","Closed","YES",0.197752310506298,0.0274604756264151,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10031,"1 ","Closed","YES",0.207133319020489,0.0860713237498389,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10031,"2 ","Closed","YES",0.0370969666524148,0.0205109189487624,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10032,"1 ","Closed","YES",0.207133319020489,0.0429578832602398,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10032,"2 ","Closed","YES",0.0474941306977219,0.041267256420057,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10033,"1 ","Closed","YES",0.362317634679411,0.103357802613959,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10035,"1 ","Closed","YES",0.362317634679411,0.632894934357359,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10037,"1 ","Closed","YES",0.357671312489005,0.168046179969558,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10038,"1 ","Closed","YES",0.2245183770698,0.195413383178284,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10040,"1 ","Closed","YES",0.2245183770698,0.188830432546953,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10040,"2 ","Closed","YES",0.042840443305594,0.0143886387483577,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10041,"1 ","Closed","YES",0.12319020855179,0.147404022566098,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10042,"1 ","Closed","YES",0.355226632423127,0.158016014350562,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10042,"2 ","Closed","YES",0.00832067720263878,0.0106073982381393,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10044,"1 ","Closed","YES",0.230372318033342,0.025813444284406,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10045,"1 ","Closed","YES",0.134500433591391,0.188099512044443,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10045,"2 ","Closed","YES",0.0210446855154873,0.00350012266226846,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10047,"1 ","Closed","YES",0.280789725182425,0.0882092474225609,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10048,"1 ","Closed","YES",0.280789725182425,0.152039127113029,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10052,"1 ","Closed","YES",0.107417731931162,0.0287315949653085,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10053,"1 ","Closed","YES",0.268014177030373,0.0677146363579832,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10054,"1 ","Closed","YES",0.21683832326131,0.210944470829213,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
10054,"2 ","Closed","YES",0.0489815448435176,0.0283815704671319,0,0,0,0,"Closed",0,0,"NO ",0,0,"",1,1,1,1,"","","",""
